DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010511,Newfoundland & Labrador,-1.06535,-0.32308,-1.32819,-0.90554,1,Dimension 2
10010512,Newfoundland & Labrador,-0.9117,0.02628,-0.87962,-0.58835,1,Dimension 2
10010513,Newfoundland & Labrador,-0.14958,0.11749,-2.873,-0.96836,1,Dimension 2
10010514,Newfoundland & Labrador,-0.91146,-1.06747,-2.65231,-1.54375,1,Dimension 1
10010515,Newfoundland & Labrador,-1.2373,0.41756,-0.93612,-0.58529,1,Dimension 2
10010516,Newfoundland & Labrador,-0.55724,0.31341,-1.4565,-0.56678,1,Dimension 2
10010517,Newfoundland & Labrador,-0.45097,0.12395,-0.38114,-0.23605,2,Dimension 2
10010518,Newfoundland & Labrador,-0.7261,-1.0814,-0.9635,-0.92366,1,Dimension 1
10010519,Newfoundland & Labrador,-1.2586,-0.67874,-0.89075,-0.9427,1,Dimension 2
10010520,Newfoundland & Labrador,-0.36446,0.62152,-0.05153,0.06851,3,Dimension 2
10010521,Newfoundland & Labrador,-0.60605,0.34875,-0.95851,-0.40527,2,Dimension 2
10010522,Newfoundland & Labrador,-1.49769,-0.5916,-2.08379,-1.39103,1,Dimension 2
10010523,Newfoundland & Labrador,-1.11498,-0.01837,-2.00957,-1.04764,1,Dimension 2
10010524,Newfoundland & Labrador,-1.0075,-0.12874,-1.0101,-0.71545,1,Dimension 2
10010525,Newfoundland & Labrador,-0.84928,0.57037,-0.44632,-0.24174,2,Dimension 2
10010526,Newfoundland & Labrador,-0.84098,1.0661,-1.46485,-0.41324,2,Dimension 2
10010527,Newfoundland & Labrador,-1.24619,0.93409,-1.35075,-0.55428,1,Dimension 2
10010529,Newfoundland & Labrador,-1.01242,0.86788,-1.0057,-0.38341,2,Dimension 2
10010530,Newfoundland & Labrador,-1.041,-0.16497,-0.76281,-0.65626,1,Dimension 2
10010531,Newfoundland & Labrador,-0.69288,0.33956,-1.08406,-0.47912,2,Dimension 2
10010532,Newfoundland & Labrador,-0.04357,0.51421,-2.00423,-0.5112,2,Dimension 2
10010533,Newfoundland & Labrador,-1.3164,0.00757,-2.16774,-1.15885,1,Dimension 2
10010534,Newfoundland & Labrador,-1.92503,0.67638,-1.01565,-0.75477,1,Dimension 2
10010535,Newfoundland & Labrador,-0.88839,0.74593,-0.1304,-0.09095,3,Dimension 2
10010536,Newfoundland & Labrador,-1.06756,0.33661,-0.05731,-0.26275,2,Dimension 2
10010537,Newfoundland & Labrador,-0.01092,0.56857,-0.54248,0.00506,3,Dimension 2
10010538,Newfoundland & Labrador,-0.35669,0.79588,-1.14666,-0.23582,2,Dimension 2
10010539,Newfoundland & Labrador,-0.23426,0.73834,-1.08041,-0.19211,2,Dimension 2
10010540,Newfoundland & Labrador,-0.74108,0.34722,-0.20661,-0.20015,2,Dimension 2
10010541,Newfoundland & Labrador,-1.0348,-0.15908,-0.299,-0.49763,2,Dimension 2
10010542,Newfoundland & Labrador,-1.58019,-0.06874,-0.22573,-0.62488,1,Dimension 2
10010543,Newfoundland & Labrador,-1.7941,-0.01802,-0.65407,-0.82206,1,Dimension 2
10010544,Newfoundland & Labrador,-0.36683,0.41191,-0.42343,-0.12612,3,Dimension 2
10010546,Newfoundland & Labrador,-0.55482,0.54673,-1.32449,-0.44419,2,Dimension 2
10010547,Newfoundland & Labrador,-0.86931,-0.06286,-0.84687,-0.59301,1,Dimension 2
10010548,Newfoundland & Labrador,-0.32339,-0.05619,-0.72107,-0.36688,2,Dimension 2
10010549,Newfoundland & Labrador,-0.70052,0.2883,-0.29699,-0.2364,2,Dimension 2
10010550,Newfoundland & Labrador,-1.23675,-0.31459,-1.67099,-1.07411,1,Dimension 2
10010551,Newfoundland & Labrador,-0.90896,-0.18661,-0.90912,-0.66823,1,Dimension 2
10010552,Newfoundland & Labrador,-0.99167,0.4053,-1.37806,-0.65481,1,Dimension 2
10010553,Newfoundland & Labrador,-0.98528,0.50922,-1.83442,-0.77016,1,Dimension 2
10010554,Newfoundland & Labrador,-2.31622,0.34392,-1.35529,-1.10919,1,Dimension 2
10010555,Newfoundland & Labrador,-0.50164,0.67473,-1.02521,-0.28404,2,Dimension 2
10010556,Newfoundland & Labrador,-0.45276,-0.86772,-2.96933,-1.42993,1,Dimension 1
10010557,Newfoundland & Labrador,-1.35703,0.2609,-0.00855,-0.36822,2,Dimension 2
10010558,Newfoundland & Labrador,-1.82183,-0.48036,-0.8003,-1.03416,1,Dimension 2
10010559,Newfoundland & Labrador,-1.06799,0.36708,-1.03892,-0.57994,1,Dimension 2
10010560,Newfoundland & Labrador,-0.96444,0.65061,-1.2409,-0.51825,2,Dimension 2
10010561,Newfoundland & Labrador,-0.61795,-0.03523,-1.15571,-0.60297,1,Dimension 2
10010562,Newfoundland & Labrador,-0.77986,-0.12898,-1.14467,-0.6845,1,Dimension 2
10010563,Newfoundland & Labrador,0.00891,0.43594,-0.70593,-0.08703,3,Dimension 2
10010564,Newfoundland & Labrador,-0.34583,0.78954,-0.92812,-0.16147,2,Dimension 2
10010565,Newfoundland & Labrador,-0.44555,1.18384,0.32661,0.35496,4,Dimension 2
10010566,Newfoundland & Labrador,-0.97144,0.92719,-0.21827,-0.0875,3,Dimension 2
10010567,Newfoundland & Labrador,-0.78316,0.11676,0.36809,-0.09944,3,Dimension 3
10010568,Newfoundland & Labrador,-1.33431,0.12349,0.40071,-0.27004,2,Dimension 3
10010569,Newfoundland & Labrador,-1.08242,0.19757,-0.20861,-0.36449,2,Dimension 2
10010570,Newfoundland & Labrador,-0.9854,0.52521,-0.3565,-0.27223,2,Dimension 2
10010571,Newfoundland & Labrador,-0.57742,0.84563,0.40029,0.22284,4,Dimension 2
10010572,Newfoundland & Labrador,-0.27345,0.06823,0.91251,0.23576,4,Dimension 3
