DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010547,-0.9298,0.63432,0.86092,0.93932,0.37619,4,Dimension 4
10010548,-0.7568,0.95861,0.47088,0.14716,0.20496,4,Dimension 2
10010549,-1.01892,0.27882,0.3317,0.2809,-0.03187,3,Dimension 3
10010550,-0.45632,1.65179,2.10183,0.61463,0.97798,5,Dimension 3
10010551,-0.66358,1.26132,1.7937,-0.36819,0.50581,5,Dimension 3
10010552,-0.83292,1.54553,0.98207,-0.21947,0.3688,4,Dimension 2
10010553,-1.01108,1.55575,0.60795,0.0794,0.30801,4,Dimension 2
10010554,-1.12125,1.70227,1.24068,0.31124,0.53323,5,Dimension 2
10010555,-1.12152,0.53905,1.20247,0.04827,0.16707,4,Dimension 3
10010556,0.2229,3.36755,1.74262,-0.15616,1.29423,5,Dimension 2
10010557,-1.16323,-0.6349,1.40736,1.10227,0.17787,4,Dimension 3
10010558,-0.72586,0.24175,2.7889,0.73388,0.75967,5,Dimension 3
10010559,-0.83093,0.62053,1.8286,0.13876,0.43924,5,Dimension 3
10010560,-0.9388,1.09359,0.70159,0.51065,0.34176,4,Dimension 2
10010561,-0.83252,0.71224,1.28073,1.19548,0.58898,5,Dimension 3
10010562,-0.86315,0.58382,0.83107,0.73058,0.32058,4,Dimension 3
10010563,-0.87893,0.51239,0.03934,0.18786,-0.03483,3,Dimension 2
10010564,-1.02273,0.74478,-0.1283,-0.0035,-0.10244,3,Dimension 2
10010565,-1.084,-0.15773,-0.13969,-0.65828,-0.50992,1,Dimension 3
10010566,-1.02543,-0.2046,0.76136,-0.51651,-0.24629,2,Dimension 3
10010567,-0.9464,-0.44001,0.46189,0.15609,-0.19211,3,Dimension 3
10010568,-0.86229,-0.45211,0.62177,0.38185,-0.0777,3,Dimension 3
10010569,-0.8015,0.31355,0.57356,-0.25021,-0.04115,3,Dimension 3
10010570,-0.98804,-0.00771,0.5038,0.04638,-0.11139,3,Dimension 3
10010571,-1.1523,-0.93162,0.00503,-0.29113,-0.5925,1,Dimension 3
10010572,-0.96736,-0.48352,-0.20108,0.30879,-0.33579,2,Dimension 4
10010573,-0.9391,0.60872,-0.05542,0.16946,-0.05409,3,Dimension 2
10010574,-1.01059,0.4255,-0.12015,0.45589,-0.06234,3,Dimension 4
10010575,-0.99761,-0.75738,0.12381,0.07173,-0.38986,2,Dimension 3
10010576,-1.07587,-0.60634,0.06174,0.18069,-0.35995,2,Dimension 4
10010577,-0.86102,-0.17664,0.10395,0.38019,-0.13838,3,Dimension 4
10010578,-0.84511,0.09157,0.26861,0.17524,-0.07742,3,Dimension 3
10010579,-0.96298,0.59177,-0.28195,-0.04951,-0.17567,3,Dimension 2
10010580,-0.83254,0.12969,0.17562,0.03708,-0.12253,3,Dimension 3
10010581,-0.93242,0.19802,0.14291,0.52225,-0.01731,3,Dimension 4
10010582,-0.81243,0.07569,0.14824,0.24218,-0.08658,3,Dimension 4
10010583,-0.72405,-0.05234,0.63273,0.10316,-0.01012,3,Dimension 3
10010584,-1.03232,-0.13045,0.08345,0.2384,-0.21023,2,Dimension 4
10010585,-0.91124,-0.4217,0.16638,0.23574,-0.23271,2,Dimension 4
10010586,-0.51497,0.24509,0.40042,0.12328,0.06345,4,Dimension 3
10010587,-0.91947,1.27233,0.02901,-0.40466,-0.0057,3,Dimension 2
10010588,-0.7966,0.32321,0.63088,0.10572,0.0658,4,Dimension 3
10010589,-0.94285,-0.15822,-0.20937,0.13258,-0.29446,2,Dimension 4
10010590,-0.64462,0.19332,-0.01271,0.53956,0.01889,3,Dimension 4
10010591,-0.79601,0.77239,0.58561,-0.11635,0.11141,4,Dimension 2
10010592,-1.08773,0.22108,0.21803,-0.35977,-0.2521,2,Dimension 2
10010593,-1.1456,-0.88903,-0.32161,0.04191,-0.57858,1,Dimension 4
10010594,-1.09171,-0.55768,-0.59812,-0.28758,-0.63377,1,Dimension 4
10010595,-1.04941,-0.75173,-0.13539,-0.11747,-0.5135,1,Dimension 4
10010596,-0.74812,-0.47547,-0.17331,-0.28078,-0.41942,2,Dimension 3
10010597,-0.82537,0.20995,-0.05718,-0.67131,-0.33598,2,Dimension 2
10010598,-0.76601,0.06875,-0.09452,0.41674,-0.09376,3,Dimension 4
10010599,-0.94589,-0.48607,0.14702,0.29281,-0.24803,2,Dimension 4
10010600,-1.23506,-0.16278,-0.44734,-0.05866,-0.47596,1,Dimension 4
10010601,-0.99443,-0.06616,0.05733,-0.28052,-0.32094,2,Dimension 3
10010602,-0.86305,-0.71418,-0.22141,0.18833,-0.40258,2,Dimension 4
10010603,-0.82671,-0.21255,-0.00458,0.36627,-0.16939,3,Dimension 4
10010604,-1.0639,-0.28319,0.14064,-0.26191,-0.36709,2,Dimension 3
10010605,-0.91238,-0.66238,-1.01942,-1.07969,-0.91847,1,Dimension 2
10010607,-0.81845,-1.17652,-0.1727,0.58449,-0.39579,2,Dimension 4
10010608,-0.98345,-1.29643,-0.34547,0.0611,-0.64106,1,Dimension 4
10010610,-0.76872,-0.53662,0.01226,0.41591,-0.21929,2,Dimension 4
10010611,-0.55519,-0.37787,0.28176,-0.24958,-0.22522,2,Dimension 3
10010614,-1.07238,-0.89298,-0.17335,-0.04032,-0.54476,1,Dimension 4
10010617,-0.95699,-0.66877,-0.31327,0.09191,-0.46178,1,Dimension 4
10010618,-1.08953,-1.17847,-0.45403,0.17051,-0.63788,1,Dimension 4
10010619,-0.92532,-0.96931,0.24028,0.06906,-0.39632,2,Dimension 3
10010620,-0.91958,1.76357,-1.12065,0.52272,0.06152,4,Dimension 2
10010621,-0.66862,-1.28366,-0.35495,0.97638,-0.33271,2,Dimension 4
10010622,-0.83902,-1.16711,-0.0086,0.41872,-0.399,2,Dimension 4
10010623,-0.77348,0.10723,-0.28265,0.00453,-0.23609,2,Dimension 2
10010624,-0.59174,0.84845,0.15306,0.22919,0.15974,4,Dimension 2
10010625,-0.71981,-0.28371,-0.10044,-0.1323,-0.30907,2,Dimension 3
10010626,-0.75089,-0.20265,-0.03322,0.62933,-0.08936,3,Dimension 4
